;name;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;fk_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;defensive_awareness;standing_tackle;slide_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;best_position;club_position;best_overall_rating;country;team;age
261;Alexander Hartmann Bah;75;59;71;71;54;74;75;64;70;72;90;93;77;77;70;78;73;86;78;65;83;76;72;75;51;75;68;74;72;6;12;12;9;13;RB;RB;78;Denmark;Benfica;24
262;Pedro De la Vega;73;67;71;72;66;75;59;68;64;73;81;82;83;66;76;77;85;75;66;72;75;50;69;67;66;73;46;47;49;8;9;15;8;9;SUB;RM;74;Argentina;Lanús;21
263;Ryan Jiro Gravenberch;75;76;58;80;69;84;74;69;78;85;76;78;80;73;77;78;72;81;75;79;52;74;74;80;58;76;69;69;59;12;8;6;11;12;SUB;CAM;82;Netherlands;FC Bayern München;20
264;Jacob Ramsey;68;76;56;77;65;81;73;54;69;78;76;75;80;77;85;79;77;79;78;73;68;69;76;75;53;77;69;73;64;14;9;8;6;12;LAM;CAM;79;England;Aston Villa;21
265;Hugo Ekitike;51;80;73;68;61;78;58;48;53;76;74;74;68;76;67;76;74;68;72;69;61;18;78;63;63;73;24;17;16;8;8;7;10;12;SUB;ST;78;France;Paris Saint Germain;20
266;Gabriel Veron Fonseca de Souza;67;71;40;72;58;81;62;50;69;79;85;86;84;70;68;63;48;57;55;66;40;34;68;67;64;70;23;23;29;6;11;6;12;15;SUB;CAM;76;Brazil;Porto;19
267;David Datro Fofana;52;65;60;58;56;69;58;44;44;67;90;90;84;57;90;65;82;64;82;58;55;15;64;48;56;63;20;18;14;14;6;10;14;10;SUB;ST;69;Côte d'Ivoire;Molde;19
268;Dane Pharrell Scarlett;48;67;64;56;59;64;52;41;40;65;83;77;75;61;71;63;76;62;62;57;57;13;68;55;68;66;17;16;18;12;8;7;5;14;RS;ST;67;England;Portsmouth;18
269;Alessandro Fontanarosa;61;59;68;69;45;63;51;46;60;66;77;74;67;58;66;70;68;52;65;48;71;65;50;56;58;68;65;69;68;13;8;13;13;7;RES;CB;69;Italy;Inter;19
270;Enes Ünal;56;84;79;78;75;78;74;78;62;77;71;68;71;77;69;82;83;64;83;79;70;29;78;62;80;72;34;43;34;8;14;8;13;13;LS;ST;81;Turkey;Getafe;25
271;Nordi Mukiele Mulere;72;40;73;72;39;72;69;33;70;74;77;79;67;73;65;67;90;79;79;52;83;81;60;64;45;72;80;83;81;10;7;14;11;15;SUB;CB;81;France;Paris Saint Germain;24
272;Kieran Tierney;83;52;59;78;38;79;72;56;68;77;86;83;76;80;77;79;81;81;74;66;84;77;75;74;42;75;78;78;77;13;16;8;12;13;SUB;LB;81;Scotland;Arsenal;25
273;Ben Chilwell;84;58;69;80;65;79;71;67;74;81;77;75;69;81;72;74;86;86;69;47;73;76;78;75;52;75;78;80;82;10;7;14;7;10;LWB;LWB;82;England;Chelsea;25
274;Lukas Nmecha;58;79;74;76;71;77;61;48;59;80;78;86;73;77;65;80;79;78;79;71;71;37;77;68;81;71;43;33;27;9;11;11;8;6;ST;ST;80;Germany;VfL Wolfsburg;23
275;Renato Júnior Luz Sanches;72;67;61;81;68;84;69;68;79;83;85;82;84;80;90;89;84;86;83;78;84;75;74;79;68;83;73;74;65;5;12;6;13;14;SUB;CAM;83;Portugal;Paris Saint Germain;24
276;Donyell Malen;71;78;69;75;75;84;76;61;64;83;92;86;86;80;84;85;77;78;74;72;62;31;79;77;74;77;29;33;35;7;9;9;10;14;LM;ST;81;Netherlands;Borussia Dortmund;23
277;Çağlar Söyüncü;46;39;75;76;48;62;39;39;64;69;64;76;64;77;55;65;76;65;82;44;86;77;42;55;52;76;76;79;77;6;7;7;7;7;SUB;CB;80;Turkey;Leicester City;26
278;冨安 健洋;65;29;74;75;30;69;48;37;70;75;76;72;69;78;70;42;70;79;80;28;78;78;58;63;37;72;81;82;79;9;14;6;5;11;SUB;CB;80;Japan;Arsenal;23
279;Mason Mount;84;81;59;85;75;82;82;84;84;83;76;72;77;85;76;81;54;86;58;83;68;59;82;82;69;83;55;57;41;11;12;13;8;12;RW;CAM;85;England;Chelsea;23
280;Jorge Eduardo Sánchez Ramos;65;44;64;67;40;71;65;40;63;68;90;92;85;70;87;67;79;89;78;45;74;71;60;64;50;72;69;72;70;10;10;12;12;7;SUB;RB;75;Mexico;Ajax;24
281;Alexander Isak;61;79;74;75;79;85;70;65;52;86;80;85;79;79;66;81;71;68;75;76;52;29;83;76;75;77;25;21;18;7;6;9;7;11;SUB;ST;82;Sweden;Newcastle United;22
282;Florentino Ibrain Morris Luís;41;35;67;78;36;69;44;32;75;72;55;60;71;76;65;65;60;81;71;43;78;83;61;66;38;76;79;81;77;6;14;14;10;14;RCM;CDM;79;Portugal;Benfica;22
283;Ismaïla Sarr;68;75;44;69;76;82;78;60;59;79;94;94;78;75;74;82;48;73;71;78;53;17;73;68;63;78;25;16;21;14;13;7;6;9;LM;RM;78;Senegal;Watford;24
284;Christian Michael Kouamé Kouakou;63;75;77;70;66;78;52;45;58;75;78;87;77;73;68;73;85;76;71;66;71;36;78;69;61;70;34;38;32;15;13;6;7;14;LW;ST;77;Côte d'Ivoire;Fiorentina;24
285;Mattéo Elias Kenzo Guendouzi Olié;67;65;69;85;55;75;75;67;80;80;76;74;84;79;71;74;76;89;75;68;86;83;72;82;70;84;75;79;77;6;13;6;13;11;RF;CDM;83;France;Olympique Marseille;23
286;Moise Bioty Kean;48;79;76;68;72;77;69;44;46;75;83;87;79;70;79;84;79;77;81;66;57;31;81;58;65;72;40;36;30;13;8;10;7;9;SUB;ST;80;Italy;Juventus;22
287;Juan Marcos Foyth;70;43;75;76;43;69;61;47;69;77;71;73;69;76;71;56;73;73;78;42;79;79;53;65;47;67;80;82;79;8;15;7;14;9;SUB;CB;80;Argentina;Villarreal;24
288;Curtis Jones;63;64;50;78;60;80;68;51;75;81;69;68;77;74;76;74;57;76;68;73;71;67;71;76;60;80;65;68;60;6;13;7;11;7;SUB;CM;78;England;Liverpool;21
289;Andriy Lunin;15;8;12;25;12;11;14;15;26;15;39;35;36;74;25;55;56;32;61;7;22;19;11;60;19;56;22;13;11;74;71;73;75;76;SUB;GK;75;Ukraine;Real Madrid;23
290;Oihan Sancet Tirapu;57;76;71;80;69;78;60;53;70;80;75;72;78;78;57;79;57;75;76;74;56;70;77;80;70;81;45;68;60;15;11;6;15;7;RCM;CAM;80;Spain;Athletic Club;22
291;Giacomo Raspadori;54;80;69;78;76;80;69;60;58;83;85;77;77;78;86;77;60;65;54;75;59;18;81;76;76;77;24;23;21;13;14;7;7;9;SUB;CAM;80;Italy;Napoli;22
292;Talles Magno Bacelar Martins;60;64;54;65;57;79;64;44;43;84;84;81;81;69;72;68;71;65;69;44;38;24;68;66;61;74;34;46;25;8;10;12;6;12;ST;RM;73;Brazil;New York City;20
293;Leo Fuhr Hjelde;55;32;64;65;30;57;30;28;56;62;65;75;59;60;40;29;65;55;73;31;61;62;48;46;36;58;64;65;65;10;13;11;9;8;RES;CB;67;Norway;Leeds United;18
294;Carlos Jonas Alcaraz;59;67;65;70;55;80;70;72;64;74;87;82;84;65;82;72;74;70;59;67;77;43;70;64;66;67;45;45;43;12;9;14;6;7;LCM;CAM;74;Argentina;Racing Club;19
295;Josip Juranović;76;57;57;73;57;73;70;67;68;72;85;87;82;71;82;78;59;82;61;62;72;67;69;74;80;72;71;75;68;12;9;10;15;11;RB;RB;75;Croatia;Celtic;26
296;Ivan Ilić;71;68;58;80;61;79;72;63;79;81;77;75;73;71;70;80;68;73;70;76;71;70;68;78;59;71;69;71;67;10;10;8;11;14;LCM;CAM;78;Serbia;Hellas Verona;21
297;Kaide Gordon;55;60;42;58;42;64;45;30;50;61;77;67;80;57;76;55;58;55;43;54;38;22;58;57;56;61;22;24;21;13;7;6;9;7;RES;RW;62;England;Liverpool;17
298;Benjamin Šeško;55;71;71;66;68;70;59;56;52;72;77;84;74;66;61;74;73;70;83;70;62;32;74;61;61;67;42;42;35;10;8;5;14;6;RS;ST;74;Slovenia;Salzburg;19
299;Garang Kuol;58;68;44;60;39;61;42;46;59;60;83;83;68;55;77;54;55;50;45;47;26;33;57;55;62;54;32;10;16;15;6;14;8;6;SUB;RM;64;Australia;Central Coast Mariners;17
300;Hugo Lloris;13;10;9;54;15;12;12;10;55;29;61;59;54;83;56;54;72;41;43;14;31;25;9;59;40;59;24;12;18;87;83;72;84;87;GK;GK;86;France;Tottenham Hotspur;35
301;Eden Michael Hazard;77;78;61;85;82;89;83;79;81;87;84;82;85;77;89;82;55;74;61;77;54;41;83;84;84;88;34;27;22;11;12;6;8;8;SUB;LW;84;Belgium;Real Madrid;31
302;Wilfried Zaha;75;81;47;75;68;88;71;54;69;87;90;91;85;74;75;83;58;78;77;72;77;35;78;70;76;81;34;39;36;15;10;15;11;10;LW;LW;82;Côte d'Ivoire;Crystal Palace;29
303;Marco Verratti;82;60;57;90;64;91;85;64;89;92;65;55;90;87;93;60;66;75;53;58;89;86;78;89;64;94;78;82;84;12;12;15;15;10;CM;CM;87;Italy;Paris Saint Germain;29
304;Kalidou Koulibaly;50;43;84;71;48;70;53;39;69;72;68;88;48;83;33;67;82;70;93;38;83;85;50;65;50;82;88;89;86;7;11;7;13;5;LCB;CB;86;Senegal;Chelsea;31
305;Samuel Yves Umtiti;61;51;78;76;65;64;72;62;73;72;61;65;58;75;64;83;82;55;82;70;79;80;51;58;59;74;79;79;77;15;10;14;12;15;LCB;CB;79;France;Lecce;28
306;Marcelo Brozović;73;69;70;85;65;79;79;74;84;84;70;68;79;83;84;80;70;94;68;84;86;84;67;83;69;82;80;84;82;8;8;15;11;8;SUB;CDM;86;Croatia;Inter;29
307;Nabil Fekir;81;83;49;83;77;89;83;79;77;86;88;79;85;81;91;84;64;80;81;83;81;34;82;87;74;89;34;42;30;15;9;8;14;15;CAM;CAM;85;France;Real Betis;28
308;Lucas François Bernard Hernández Pi;78;53;82;77;46;65;59;39;63;76;75;78;70;84;69;62;85;73;78;51;90;83;62;63;42;77;85;85;83;10;7;8;14;10;SUB;CB;84;France;FC Bayern München;26
309;Nicolò Barella;79;73;53;86;80;80;79;67;85;87;80;78;90;88;90;77;78;94;73;79;84;83;81;86;73;86;79;79;81;11;5;13;14;11;RCM;CM;88;Italy;Inter;25
310;Ryan Kent;72;69;58;73;67;78;68;57;68;74;90;89;91;76;87;81;43;81;52;72;74;45;71;73;52;70;44;44;33;9;8;6;13;7;LW;RM;77;England;Rangers;25
311;Giovani Lo Celso;78;73;62;84;71;85;82;79;83;85;74;69;81;82;80;82;56;75;69;74;82;70;75;85;65;83;64;73;68;10;7;10;15;14;LM;CAM;83;Argentina;Villarreal;26
312;Kieran Tierney;83;52;59;78;38;79;72;56;68;77;86;83;76;80;77;79;81;81;74;66;84;77;75;74;42;75;78;78;77;13;16;8;12;13;SUB;LB;81;Scotland;Arsenal;25
313;Renato Júnior Luz Sanches;72;67;61;81;68;84;69;68;79;83;85;82;84;80;90;89;84;86;83;78;84;75;74;79;68;83;73;74;65;5;12;6;13;14;SUB;CAM;83;Portugal;Paris Saint Germain;24
314;Kevin Mac Allister;59;53;71;71;37;70;38;41;58;71;82;71;82;72;77;57;83;90;73;55;80;72;66;64;45;71;75;75;74;8;6;7;12;8;RCB;CB;76;Argentina;Argentinos Juniors;24
315;Declan Rice;55;61;72;83;50;78;61;65;84;79;68;74;55;81;67;78;74;90;79;65;84;85;58;79;71;83;82;84;80;8;11;14;5;9;LDM;CDM;85;England;West Ham United;23
316;Carlos Alberto Rodríguez Gómez;63;72;50;80;50;77;64;61;75;77;78;77;86;73;74;66;65;83;62;62;62;70;72;76;62;80;66;70;62;12;15;11;8;10;RCM;CAM;78;Mexico;;25
317;Moise Bioty Kean;48;79;76;68;72;77;69;44;46;75;83;87;79;70;79;84;79;77;81;66;57;31;81;58;65;72;40;36;30;13;8;10;7;9;SUB;ST;80;Italy;Juventus;22
318;David Neres Campos;73;74;45;78;72;86;79;52;69;85;87;85;88;78;87;77;56;73;64;75;53;35;74;79;69;85;42;32;29;14;10;5;13;6;RM;CAM;83;Brazil;Benfica;25
319;Rayan Aït Nouri;75;42;62;71;39;78;72;58;66;76;78;76;74;70;76;46;57;74;56;44;65;72;62;67;42;69;73;77;74;15;11;8;14;12;LB;LB;76;France;Wolverhampton Wanderers;21
320;Andriy Lunin;15;8;12;25;12;11;14;15;26;15;39;35;36;74;25;55;56;32;61;7;22;19;11;60;19;56;22;13;11;74;71;73;75;76;SUB;GK;75;Ukraine;Real Madrid;23
321;Odilon Kossounou;58;26;75;67;28;66;33;23;69;69;71;77;63;70;56;52;74;76;81;24;74;74;38;57;32;65;74;77;76;5;8;6;10;6;SUB;CB;77;Côte d'Ivoire;Bayer 04 Leverkusen;21
322;Roger Ibañez Da Silva;34;27;77;63;29;40;32;35;40;73;85;82;69;84;62;45;69;83;77;25;80;86;32;34;46;74;81;81;85;12;7;10;6;12;LCB;CB;82;Brazil;Roma;23
323;Edmond Fayçal Tapsoba;39;57;82;80;33;66;54;32;78;74;74;67;66;79;64;74;78;75;83;30;74;83;34;66;77;80;82;86;77;5;10;13;7;15;RCB;CB;83;Burkina Faso;Bayer 04 Leverkusen;23
324;Brian Ebenezer Adjei Brobbey;35;79;72;73;63;67;49;44;53;76;79;83;63;74;84;77;91;67;91;63;70;26;81;52;66;77;28;23;24;10;11;15;8;13;ST;ST;79;Netherlands;Ajax;20
325;Giacomo Raspadori;54;80;69;78;76;80;69;60;58;83;85;77;77;78;86;77;60;65;54;75;59;18;81;76;76;77;24;23;21;13;14;7;7;9;SUB;CAM;80;Italy;Napoli;22
326;Leo Fuhr Hjelde;55;32;64;65;30;57;30;28;56;62;65;75;59;60;40;29;65;55;73;31;61;62;48;46;36;58;64;65;65;10;13;11;9;8;RES;CB;67;Norway;Leeds United;18
327;Ivan Ilić;71;68;58;80;61;79;72;63;79;81;77;75;73;71;70;80;68;73;70;76;71;70;68;78;59;71;69;71;67;10;10;8;11;14;LCM;CAM;78;Serbia;Hellas Verona;21
328;Octavian George Popescu;67;66;40;69;59;74;74;50;67;74;81;82;84;63;78;73;59;76;48;68;58;30;62;70;52;69;27;34;26;15;12;14;11;9;SUB;RM;73;Romania;FCSB;19
329;Levi Colwill;51;26;65;64;33;60;49;34;63;64;68;70;55;66;67;45;76;64;78;38;69;69;43;57;39;64;67;73;69;15;14;8;10;14;SUB;CB;72;England;Brighton & Hove Albion;19
330;Mesut Özil;82;70;51;85;77;78;84;75;80;80;70;68;75;65;74;68;33;40;43;66;44;14;77;82;79;85;16;16;19;6;14;10;6;14;RES;CAM;77;Germany;İstanbul Başakşehir;33
331;Robert Lewandowski;71;94;91;84;89;85;79;85;70;89;76;75;77;93;82;91;85;76;87;84;81;49;94;81;90;88;35;42;19;15;6;12;8;10;ST;ST;91;Poland;FC Barcelona;33
332;Virgil van Dijk;53;52;86;79;45;70;60;70;86;76;68;91;61;89;53;81;88;74;93;64;85;89;47;65;62;90;91;91;86;13;10;13;11;11;LCB;CB;89;Netherlands;Liverpool;30
333;Michy Batshuayi Tunga;65;76;75;64;77;74;67;54;39;77;77;78;75;77;71;86;84;69;82;73;69;29;78;64;68;79;37;31;22;9;10;16;7;15;RS;ST;77;Belgium;Fenerbahçe;28
334;João Pedro Cavaco Cancelo;88;69;72;88;62;86;87;69;79;87;86;84;79;85;78;80;72;91;62;79;76;82;81;85;52;86;79;84;80;6;9;15;14;14;LB;LB;88;Portugal;Manchester City;28
335;Andries Noppert;14;19;19;28;19;19;24;14;39;23;45;50;40;74;60;50;66;42;69;20;21;16;15;32;19;54;10;15;13;77;73;67;73;75;GK;GK;75;Netherlands;SC Heerenveen;28
336;Ben Godfrey;56;35;73;71;40;62;39;33;65;68;72;90;65;74;66;53;80;71;83;55;81;74;46;56;44;68;75;78;78;7;6;12;14;11;RES;CB;79;England;Everton;24
337;Robin Le Normand;35;19;85;78;25;52;29;25;64;72;58;67;33;79;51;40;85;71;88;22;68;82;21;32;34;73;83;84;80;9;13;14;15;10;LCB;CB;83;France;Real Sociedad;25
338;Tanguy Ndombèlé Alvaro;73;68;56;84;62;88;74;59;79;86;68;64;81;77;86;79;58;52;75;74;73;69;70;84;58;86;67;72;69;8;10;13;8;7;SUB;CAM;82;France;Napoli;25
339;김민재 金敏在;35;23;76;73;24;57;36;23;67;66;75;84;65;77;65;51;80;77;88;37;82;78;48;57;30;68;80;82;78;13;7;11;14;11;LCB;CB;81;Korea Republic;Napoli;25
340;Juan Marcos Foyth;70;43;75;76;43;69;61;47;69;77;71;73;69;76;71;56;73;73;78;42;79;79;53;65;47;67;80;82;79;8;15;7;14;9;SUB;CB;80;Argentina;Villarreal;24
341;Conor Gallagher;69;77;49;77;63;78;65;70;76;79;69;78;68;80;68;79;58;93;64;78;79;71;78;76;55;72;62;75;67;7;6;15;9;9;SUB;CM;80;England;Chelsea;22
342;Lovro Majer;79;71;55;82;67;85;86;77;79;85;76;63;84;79;69;76;57;77;64;72;62;63;77;81;78;78;56;65;58;9;12;12;5;6;RCM;CAM;82;Croatia;Rennes;24
343;Oihan Sancet Tirapu;57;76;71;80;69;78;60;53;70;80;75;72;78;78;57;79;57;75;76;74;56;70;77;80;70;81;45;68;60;15;11;6;15;7;RCM;CAM;80;Spain;Athletic Club;22
344;Joe Gelhardt;48;73;55;69;65;80;57;45;58;76;76;74;74;70;80;79;72;71;74;67;60;23;72;65;65;72;32;23;18;6;13;6;10;12;SUB;CAM;74;England;Leeds United;20
345;Adam Hložek;69;75;73;75;73;77;68;64;68;79;79;78;69;76;78;78;70;76;84;76;70;23;77;78;66;78;23;32;23;11;10;9;11;10;SUB;ST;79;Czech Republic;Bayer 04 Leverkusen;19
346;João Pedro Junqueira de Jesus;56;72;72;65;65;76;61;46;59;73;79;76;80;71;60;68;54;68;64;63;29;14;73;63;69;70;17;25;24;7;6;10;8;14;SUB;ST;73;Brazil;Watford;20
347;Joey Veerman;79;65;54;82;58;80;75;73;83;79;69;58;74;75;69;79;50;81;76;78;68;68;64;84;65;77;65;68;63;12;11;10;5;9;CM;CM;80;Netherlands;PSV;23
348;Ronald Federico Araújo da Silva;58;56;85;76;38;55;47;45;66;66;72;85;56;81;55;61;87;74;86;35;84;81;56;59;43;76;82;84;84;11;14;9;11;8;RCB;CB;84;Uruguay;FC Barcelona;23
349;Manuel Ugarte Ribeiro;58;65;39;79;45;79;54;50;78;79;71;72;69;78;60;62;53;84;75;65;76;80;75;76;50;84;77;77;76;6;10;16;8;13;RCM;CM;80;Uruguay;Sporting CP;21
350;三笘 薫;62;73;45;72;66;79;67;62;59;76;88;77;86;73;68;65;65;68;62;68;58;57;71;72;63;75;56;59;54;10;13;10;14;9;SUB;CAM;76;Japan;Brighton & Hove Albion;25
351;Santiago Simón;72;61;55;73;55;74;69;58;72;75;81;73;79;72;78;65;60;73;70;66;77;65;75;76;58;75;65;71;70;13;15;8;6;11;SUB;CAM;75;Argentina;River Plate;20
352;Lesley Chimuanya Ugochukwu;58;49;71;74;47;69;60;41;71;72;69;67;69;69;68;68;70;70;78;58;69;65;62;65;52;68;64;69;67;10;13;15;11;8;SUB;CM;71;France;Rennes;18
353;Anass Zaroury;61;67;52;68;58;76;69;52;65;73;85;79;84;69;87;70;72;71;51;63;52;28;68;69;50;67;18;27;22;10;10;11;11;6;RM;CAM;73;Morocco;Burnley;21
354;Francisco Fernandes Conceição;64;62;36;69;64;81;61;48;63;77;83;76;93;65;85;62;40;64;33;56;42;23;64;69;59;69;30;37;33;9;6;7;15;14;SUB;CAM;73;Portugal;Ajax;19
355;Cristian Nicolás Medina;65;60;51;74;49;72;62;52;68;74;71;70;72;69;74;57;57;80;60;59;72;64;67;71;54;69;65;67;62;8;8;12;6;6;SUB;CM;73;Argentina;Boca Juniors;20
356;Leandro Morgalla;33;39;59;59;26;46;27;29;59;61;74;70;66;59;62;40;71;68;69;30;57;65;32;33;42;54;63;68;66;6;15;12;12;12;RCB;CB;66;Germany;1860 München;17
357;Vanderson de Oliveira Campos;77;63;68;76;61;76;69;72;67;75;79;78;76;74;74;62;56;75;67;59;71;70;72;74;49;72;71;74;72;8;8;6;6;7;RB;RB;76;Brazil;Monaco;21
358;Henrique Pereira Araújo;47;73;72;62;61;66;69;42;48;68;73;68;50;72;67;74;78;68;75;64;59;14;72;61;69;61;21;27;21;8;8;11;9;10;RES;ST;73;Portugal;Benfica;20
359;Abdul Fatawu Issahaku;57;63;42;67;64;73;70;71;63;68;84;80;86;65;86;77;52;53;51;73;48;35;56;57;64;68;30;38;34;13;7;7;7;5;SUB;CAM;69;Ghana;Sporting CP;18
360;Philippe Coutinho Correia;77;75;48;82;78;85;86;82;77;87;74;53;91;80;92;77;58;64;52;84;59;49;80;83;72;79;55;54;47;12;7;9;14;6;SUB;CAM;81;Brazil;Aston Villa;30
361;David De Gea Quintana;17;13;21;48;13;18;21;19;50;34;52;50;63;89;43;57;67;43;55;12;30;30;12;53;29;58;25;21;13;88;80;76;85;89;GK;GK;87;Spain;Manchester United;31
362;Harry Kane;80;93;85;84;87;83;82;65;86;84;67;70;68;92;73;92;79;83;83;86;80;44;94;87;92;92;50;36;38;8;10;11;14;11;ST;ST;89;England;Tottenham Hotspur;28
363;Alisson Ramsés Becker;17;13;29;60;20;27;19;18;58;40;58;49;40;87;37;64;52;32;78;14;27;11;13;66;23;68;15;19;16;86;85;85;90;89;GK;GK;89;Brazil;Liverpool;29
364;Ángel Martín Correa;75;86;71;80;80;87;82;66;68;87;86;85;90;84;88;83;51;84;69;86;79;48;86;82;67;79;42;53;44;13;10;9;8;16;SUB;CF;85;Argentina;Atlético Madrid;27
365;Joelinton Cassio Apolinário de Lira;41;65;78;78;59;81;55;38;71;80;74;77;66;80;68;81;79;86;85;60;84;69;74;79;61;78;72;78;66;9;13;8;13;13;LW;CM;79;Brazil;Newcastle United;25
366;Brahim Abdelkader Díaz;66;69;30;83;55;82;74;61;74;83;81;75;89;72;91;70;66;65;44;71;41;30;73;78;58;72;40;23;21;13;9;13;10;6;CAM;CAM;80;Spain;Milan;22
367;Alban Lafont;13;6;13;54;9;14;13;12;51;10;48;45;60;71;53;51;73;40;70;9;20;11;4;56;16;61;20;14;12;83;77;68;77;86;GK;GK;80;France;Nantes;23
368;Tyler Shaan Adams;55;48;65;78;33;71;52;42;73;73;86;76;83;77;85;51;84;87;68;46;80;76;65;72;51;77;77;80;74;6;13;12;8;7;RDM;CDM;79;United States;Leeds United;23
369;Carlos Soler Barragán;77;78;56;85;66;80;80;85;84;81;78;82;76;83;73;77;58;84;71;76;65;74;78;85;86;76;67;79;68;6;14;7;13;11;SUB;CM;84;Spain;Paris Saint Germain;25
370;João Pedro Neves Filipe;72;74;60;72;66;79;75;68;68;78;85;87;89;66;80;72;73;69;57;73;56;37;70;74;59;73;28;41;25;14;7;14;5;11;LW;CAM;77;Portugal;Celtic;23
371;Martin Terrier;73;85;75;78;79;80;77;58;72;82;84;86;73;78;70;79;78;77;75;80;57;27;82;77;73;79;34;31;34;12;5;13;5;8;LM;ST;83;France;Rennes;25
372;Diego Lainez Leyva;72;64;48;75;64;81;67;50;64;77;83;71;89;67;91;61;58;56;42;65;61;39;71;67;66;74;50;54;51;14;13;14;7;9;SUB;CAM;75;Mexico;Sporting Braga;22
373;Emile Smith Rowe;74;75;36;81;60;84;72;58;67;81;80;76;75;77;75;70;34;73;61;67;52;28;81;80;64;78;37;30;31;11;8;14;8;10;SUB;CAM;81;England;Arsenal;21
374;Luis Fernando Díaz Marulanda;76;80;62;76;74;89;75;58;71;87;92;91;88;83;75;84;73;84;69;82;70;25;81;77;63;83;28;38;34;10;13;13;14;14;SUB;RM;85;Colombia;Liverpool;25
375;Lutsharel Geertruida;70;61;80;74;31;72;56;30;68;75;76;78;74;69;72;49;89;78;78;42;70;72;64;68;40;75;74;79;78;12;11;13;12;10;RB;CB;78;Netherlands;Feyenoord;21
376;Benoît Badiashile Mukinayi;48;38;78;78;31;58;56;34;77;67;54;66;42;76;35;70;78;64;84;47;69;78;47;68;46;75;78;78;74;8;7;5;15;8;LCB;CB;79;France;Monaco;21
377;Francisco António Machado Mota Castro Trincão;68;71;66;70;66;83;83;56;66;81;79;77;83;78;65;73;63;69;56;73;53;35;76;74;67;83;37;36;34;5;9;6;15;7;RW;CAM;78;Portugal;Sporting CP;22
378;Dejan Kulusevski;83;77;54;82;80;85;84;61;70;85;77;78;79;80;69;76;66;83;73;82;67;55;78;81;65;81;50;64;58;14;5;10;10;5;RW;CAM;83;Sweden;Tottenham Hotspur;22
379;Aaron Buchanan Hickey;72;48;62;73;56;74;62;40;69;75;79;75;74;69;64;64;64;81;51;61;47;67;59;67;48;72;70;74;73;13;14;8;13;5;SUB;RB;75;Scotland;Brentford;20
380;Milan Fabrizio van Ewijk;69;48;53;64;48;69;50;37;48;65;91;93;77;64;73;68;70;83;66;49;66;67;50;51;41;65;64;72;67;11;13;14;12;6;RWB;RWB;73;Netherlands;SC Heerenveen;21
381;Joey Veerman;79;65;54;82;58;80;75;73;83;79;69;58;74;75;69;79;50;81;76;78;68;68;64;84;65;77;65;68;63;12;11;10;5;9;CM;CM;80;Netherlands;PSV;23
382;Pablo Solari;68;75;60;67;66;74;48;65;55;73;90;80;82;72;70;71;44;72;70;70;56;18;77;71;65;66;26;23;21;11;8;13;14;6;RM;ST;75;Argentina;River Plate;21
383;Julián Ezequiel Aude Bernardi;62;41;47;68;39;76;37;38;64;74;74;69;77;64;76;57;59;73;59;47;64;62;59;63;42;72;58;63;65;12;14;7;6;6;SUB;LM;69;Argentina;Lanús;19
384;Martin Vitík;31;33;73;66;28;55;32;30;62;64;65;66;43;71;45;60;64;63;77;34;71;73;51;62;22;64;71;75;72;15;12;8;8;10;RES;CB;74;Czech Republic;Sparta Praha;19
385;Vanderson de Oliveira Campos;77;63;68;76;61;76;69;72;67;75;79;78;76;74;74;62;56;75;67;59;71;70;72;74;49;72;71;74;72;8;8;6;6;7;RB;RB;76;Brazil;Monaco;21
386;Breel-Donald Embolo;63;76;71;76;77;77;68;58;70;74;83;85;67;76;70;84;76;79;85;71;78;44;82;72;66;71;40;63;38;13;6;7;7;12;RS;ST;80;Switzerland;Monaco;25
387;Lucas Torreira Di Pascua;71;68;59;82;65;77;70;72;76;80;77;68;85;80;89;80;51;90;68;74;87;80;68;74;48;82;81;80;76;5;5;13;7;9;RCM;CDM;82;Uruguay;Galatasaray;26
388;André Onana;15;12;20;43;13;26;30;17;53;38;62;60;66;81;53;65;77;38;79;17;32;15;11;64;27;64;12;18;14;81;80;86;80;83;GK;GK;82;Cameroon;Inter;26
389;Tammy Bakumo-Abraham;53;84;86;77;80;80;55;55;53;82;80;85;61;84;53;80;73;79;85;71;68;25;83;73;79;82;40;29;20;12;7;8;13;13;ST;ST;84;England;Roma;24
390;Reiss Nelson;67;68;39;72;55;78;66;67;58;77;85;84;82;65;80;67;41;70;53;54;42;42;69;71;60;60;31;37;37;12;12;11;11;15;SUB;RM;75;England;Arsenal;22
391;Denzel Justus Morris Dumfries;77;67;84;76;38;72;69;35;71;75;78;87;69;82;60;68;90;92;89;54;83;78;74;59;48;74;76;79;77;10;10;7;13;14;RM;RWB;82;Netherlands;Inter;26
392;Raphael Dias Belloli;79;77;45;76;72;87;81;79;74;84;90;91;88;83;79;83;74;86;65;79;76;55;82;77;78;80;47;54;38;8;7;13;8;14;RW;RW;83;Brazil;FC Barcelona;25
